id,county,rate
1001,"Autauga, AL",21.21296137
1003,"Baldwin, AL",20.68030129
1005,"Barbour, AL",33.49468681
1007,"Bibb, AL",31.31367158
1009,"Blount, AL",25.32340878
1011,"Bullock, AL",33.20540678
1013,"Butler, AL",32.12003955
1015,"Calhoun, AL",29.13801932
1017,"Chambers, AL",32.4621738
1019,"Cherokee, AL",31.97579039
1021,"Chilton, AL",27.8022393
1023,"Choctaw, AL",36.00819504
1025,"Clarke, AL",31.84532072
1027,"Clay, AL",32.41103872
1029,"Cleburne, AL",28.0633606
1031,"Coffee, AL",23.08643859
1033,"Colbert, AL",28.8247215
1035,"Conecuh, AL",39.80158438
1037,"Coosa, AL",32.95084229
1039,"Covington, AL",32.45329171
1041,"Crenshaw, AL",30.16889901
1043,"Cullman, AL",25.7796939
1045,"Dale, AL",27.80890086
1047,"Dallas, AL",38.67200295
1049,"DeKalb, AL",29.86713838
1051,"Elmore, AL",22.14058794
1053,"Escambia, AL",33.00802249
1055,"Etowah, AL",31.18668827
1057,"Fayette, AL",37.05747233
1059,"Franklin, AL",29.35404939
1061,"Geneva, AL",32.0706854
1063,"Greene, AL",39.58209668
1065,"Hale, AL",33.15482379
1067,"Henry, AL",27.81979335
1069,"Houston, AL",24.40687995
1071,"Jackson, AL",28.24705205
1073,"Jefferson, AL",17.82825194
1075,"Lamar, AL",35.22823155
1077,"Lauderdale, AL",26.0836694
1079,"Lawrence, AL",30.05988727
1081,"Lee, AL",17.46184367
1083,"Limestone, AL",19.83163416
1085,"Lowndes, AL",31.43470469
1087,"Macon, AL",33.79761565
1089,"Madison, AL",15.48465375
1091,"Marengo, AL",32.53684741
1093,"Marion, AL",31.41422136
1095,"Marshall, AL",26.57830165
1097,"Mobile, AL",25.26595589
1099,"Monroe, AL",33.11640624
1101,"Montgomery, AL",21.69347663
1103,"Morgan, AL",24.17682119
1105,"Perry, AL",42.37969458
1107,"Pickens, AL",33.63452016
1109,"Pike, AL",24.53986916
1111,"Randolph, AL",34.20012611
1113,"Russell, AL",31.13538674
1115,"St. Clair, AL",22.59884266
1117,"Shelby, AL",13.01509509
1119,"Sumter, AL",35.62168769
1121,"Talladega, AL",30.81547439
1123,"Tallapoosa, AL",29.97979598
1125,"Tuscaloosa, AL",21.33430001
1127,"Walker, AL",31.88954095
1129,"Washington, AL",29.01689972
1131,"Wilcox, AL",42.99450877
1133,"Winston, AL",32.23731563
2010,"Aleutian Islands Census Area, AK*",#VALUE!
2013,"Aleutians East Borough, AK*",5.79366594
2016,"Aleutians West Census Area, AK*",7.16600436
2020,"Anchorage Municipality, AK",14.97622207
2050,"Bethel Census Area, AK*",31.79459182
2060,"Bristol Bay Borough, AK",8.508159569
2068,"Denali Borough, AK*",24.11420603
2070,"Dillingham Census Area, AK*",17.74771666
2090,"Fairbanks North Star Borough, AK",15.9253072
2100,"Haines Borough, AK",19.43844635
2105,"Hoonah-Angoon Census Area, AK*",24.93139779
2110,"Juneau City and Borough, AK",11.66938343
2122,"Kenai Peninsula Borough, AK",20.57905439
2130,"Ketchikan Gateway Borough, AK*",17.1455015
2150,"Kodiak Island Borough, AK",14.2380871
2158,"Kusilvak Census Area, AK*",45.88860674
2164,"Lake and Peninsula Borough, AK*",19.41598149
2170,"Matanuska-Susitna Borough, AK",15.93142585
2180,"Nome Census Area, AK*",30.18581033
2185,"North Slope Borough, AK",7.551475797
2188,"Northwest Arctic Borough, AK",34.7666907
2195,"Petersburg Borough, AK*",20.42970583
2198,"Prince of Wales-Hyder Census Area, AK*",23.53243152
2201,"Prince of Wales-Outer Ketchikan Census Area, AK*",#VALUE!
2220,"Sitka City and Borough, AK",13.85933925
2230,"Skagway Municipality, AK*",10.71287731
2231,"Skagway-Yakutat-Angoon Census Area, AK*",#VALUE!
2232,"Skagway-Hoonah-Angoon Census Area, AK*",#VALUE!
2240,"Southeast Fairbanks Census Area, AK*",23.64332139
2261,"Valdez-Cordova Census Area, AK*",14.64018685
2275,"Wrangell City and Borough, AK*",26.98374311
2280,"Wrangell-Petersburg Census Area, AK*",#VALUE!
2282,"Yakutat City and Borough, AK*",23.01336421
2290,"Yukon-Koyukuk Census Area, AK*",36.4763275
2901,"Aleutian Islands Division, AK*",#VALUE!
2903,"Angoon Division, AK*",#VALUE!
2904,"Barrow-North Slope Division, AK*",#VALUE!
2905,"Bethel Division, AK*",#VALUE!
2907,"Bristol Bay Division, AK*",#VALUE!
2908,"Cordova-McCarthy Division, AK*",#VALUE!
2910,"Haines Division, AK*",#VALUE!
2912,"Kenai-Cook Inlet Division, AK*",#VALUE!
2916,"Kuskokwim Division, AK*",#VALUE!
2919,"Outer Ketchikan Division, AK*",#VALUE!
2920,"Prince of Wales Division, AK*",#VALUE!
2921,"Seward Division, AK*",#VALUE!
2922,"Sitka Division, AK*",#VALUE!
2923,"Skagway-Yakutat Division, AK*",#VALUE!
2924,"Southeast Fairbanks Division, AK*",#VALUE!
2925,"Upper Yukon Division, AK*",#VALUE!
2926,"Valdez-Chitina-Whittier Division, AK*",#VALUE!
2928,"Wrangell-Petersburg Division, AK*",#VALUE!
2929,"Yukon-Koyukuk Division, AK*",#VALUE!
4001,"Apache, AZ",42.40813921
4003,"Cochise, AZ",31.9059336
4005,"Coconino, AZ",17.80679906
4007,"Gila, AZ",40.72568746
4009,"Graham, AZ",36.25375998
4011,"Greenlee, AZ",26.24927523
4012,"La Paz, AZ*",38.13325774
4013,"Maricopa, AZ",16.13107822
4015,"Mohave, AZ",35.61218256
4017,"Navajo, AZ",40.51428424
4019,"Pima, AZ",23.55957292
4021,"Pinal, AZ",28.19510419
4023,"Santa Cruz, AZ",24.60076968
4025,"Yavapai, AZ",30.77385536
4027,"Yuma, AZ*",22.61552216
5001,"Arkansas, AR",24.82671279
5003,"Ashley, AR",36.63380598
5005,"Baxter, AR",37.97312417
5007,"Benton, AR",8.029488448
5009,"Boone, AR",31.42847793
5011,"Bradley, AR",34.87378128
5013,"Calhoun, AR",29.37108703
5015,"Carroll, AR",29.08129228
5017,"Chicot, AR",40.2883189
5019,"Clark, AR",30.65556569
5021,"Clay, AR",36.0497861
5023,"Cleburne, AR",32.54346647
5025,"Cleveland, AR",28.86987429
5027,"Columbia, AR",29.37400118
5029,"Conway, AR",30.17255188
5031,"Craighead, AR",24.60860484
5033,"Crawford, AR",29.41190153
5035,"Crittenden, AR",28.46987499
5037,"Cross, AR",32.69695215
5039,"Dallas, AR",41.02962452
5041,"Desha, AR",36.45620985
5043,"Drew, AR",29.89938388
5045,"Faulkner, AR",22.80693815
5047,"Franklin, AR",30.29118934
5049,"Fulton, AR",43.8976591
5051,"Garland, AR",31.49855253
5053,"Grant, AR",25.12361257
5055,"Greene, AR",29.26251359
5057,"Hempstead, AR",33.69021576
5059,"Hot Spring, AR",34.91125212
5061,"Howard, AR",30.75138716
5063,"Independence, AR",31.05697943
5065,"Izard, AR",40.3886206
5067,"Jackson, AR",33.65175795
5069,"Jefferson, AR",33.5712243
5071,"Johnson, AR",32.02705928
5073,"Lafayette, AR",33.00706906
5075,"Lawrence, AR",36.18669179
5077,"Lee, AR",41.68040265
5079,"Lincoln, AR",33.3073619
5081,"Little River, AR",32.81354662
5083,"Logan, AR",36.9743138
5085,"Lonoke, AR",22.94071419
5087,"Madison, AR",24.98237164
5089,"Marion, AR",41.95125565
5091,"Miller, AR",28.58100974
5093,"Mississippi, AR",41.26645064
5095,"Monroe, AR",42.48297584
5097,"Montgomery, AR",38.97832202
5099,"Nevada, AR",38.06996442
5101,"Newton, AR",40.02194071
5103,"Ouachita, AR",33.68643135
5105,"Perry, AR",30.84885239
5107,"Phillips, AR",44.56205925
5109,"Pike, AR",34.15043781
5111,"Poinsett, AR",38.04380014
5113,"Polk, AR",37.11187719
5115,"Pope, AR",27.03416237
5117,"Prairie, AR",32.63488547
5119,"Pulaski, AR",19.82489964
5121,"Randolph, AR",37.00270097
5123,"St. Francis, AR",38.17712294
5125,"Saline, AR",23.39923648
5127,"Scott, AR",34.696917
5129,"Searcy, AR",45.67942308
5131,"Sebastian, AR",23.33457555
5133,"Sevier, AR",27.46329151
5135,"Sharp, AR",45.40035977
5137,"Stone, AR",44.04230254
5139,"Union, AR",25.39785068
5141,"Van Buren, AR",40.82900089
5143,"Washington, AR",16.94650176
5145,"White, AR",28.2877181
5147,"Woodruff, AR",38.27213183
5149,"Yell, AR",31.43291398
6001,"Alameda, CA",11.34102039
6003,"Alpine, CA",20.45164097
6005,"Amador, CA",24.56656221
6007,"Butte, CA",25.27241156
6009,"Calaveras, CA",24.56293088
6011,"Colusa, CA",17.11373657
6013,"Contra Costa, CA",10.45862068
6015,"Del Norte, CA",33.72923838
6017,"El Dorado, CA",13.83394498
6019,"Fresno, CA",22.8651303
6021,"Glenn, CA",21.48587587
6023,"Humboldt, CA",22.63704188
6025,"Imperial, CA",25.35883165
6027,"Inyo, CA",20.06238039
